07-13 12:38:02: New best reward 8.0 (-100.0%) at episode 0, saving model...
07-13 12:38:02: New best reward 29.0 (+262.5%) at episode 1, saving model...
07-13 12:41:50: New best reward 14.0 (-100.0%) at episode 0, saving model...
07-13 12:41:50: New best reward 18.0 (+28.6%) at episode 1, saving model...
07-13 12:41:50: New best reward 25.0 (+38.9%) at episode 2, saving model...
07-13 12:41:50: New best reward 26.0 (+4.0%) at episode 11, saving model...
07-13 12:41:50: New best reward 31.0 (+19.2%) at episode 16, saving model...
07-13 12:41:50: New best reward 60.0 (+93.5%) at episode 29, saving model...
07-13 12:41:50: New best reward 62.0 (+3.3%) at episode 236, saving model...
07-13 12:41:50: New best reward 66.0 (+6.5%) at episode 296, saving model...
07-13 12:41:51: New best reward 69.0 (+4.5%) at episode 388, saving model...
07-13 12:41:51: New best reward 76.0 (+10.1%) at episode 403, saving model...
07-13 12:42:18: New best reward 80.0 (+5.3%) at episode 18932, saving model...
07-13 12:42:18: New best reward 138.0 (+72.5%) at episode 18938, saving model...
07-13 12:42:29: New best reward 146.0 (+5.8%) at episode 25682, saving model...
07-13 12:42:29: New best reward 219.0 (+50.0%) at episode 25690, saving model...
07-13 12:42:29: New best reward 230.0 (+5.0%) at episode 25696, saving model...
07-13 12:42:30: New best reward 322.0 (+40.0%) at episode 25791, saving model...
07-13 12:42:30: New best reward 514.0 (+59.6%) at episode 25834, saving model...
07-13 12:43:19: New best reward 668.0 (+30.0%) at episode 51145, saving model...
07-13 12:49:03: New best reward 718.0 (+7.5%) at episode 129193, saving model...
07-13 12:49:03: New best reward 825.0 (+14.9%) at episode 129210, saving model...
07-13 12:49:03: New best reward 880.0 (+6.7%) at episode 129217, saving model...
07-13 12:53:21: New best reward 966.0 (+9.8%) at episode 151256, saving model...
07-13 12:53:23: New best reward 1365.0 (+41.3%) at episode 151311, saving model...
07-13 12:53:56: New best reward 1911.0 (+40.0%) at episode 153181, saving model...
