07-13 16:13:48: New best reward -6.9 (-100.0%) at episode 0, saving model...
07-13 16:14:10: New best reward -7.5 (-100.0%) at episode 0, saving model...
07-13 16:14:10: New best reward -6.3 (-16.0%) at episode 9, saving model...
07-13 16:14:10: New best reward -5.7 (-9.5%) at episode 28, saving model...
07-13 16:14:10: New best reward -5.1 (-10.5%) at episode 30, saving model...
07-13 16:14:10: New best reward -2.1 (-58.8%) at episode 95, saving model...
07-13 16:14:11: New best reward 3.9 (-285.7%) at episode 477, saving model...
07-13 16:14:29: New best reward 4.5 (+15.4%) at episode 8692, saving model...
07-13 16:14:31: New best reward 4.9 (+8.9%) at episode 9464, saving model...
07-13 16:14:36: New best reward 5.0 (+2.0%) at episode 11514, saving model...
07-13 16:14:49: New best reward 9.3 (+86.0%) at episode 16664, saving model...
07-13 16:15:03: New best reward 10.7 (+15.1%) at episode 22123, saving model...
07-13 16:23:10: New best reward 12.9 (+20.6%) at episode 181687, saving model...
07-13 16:23:51: New best reward 17.9 (+38.8%) at episode 193657, saving model...
07-13 16:24:03: New best reward 19.0 (+6.1%) at episode 196883, saving model...
07-13 16:24:19: New best reward 20.5 (+7.9%) at episode 201466, saving model...
07-13 16:24:28: New best reward 22.4 (+9.3%) at episode 203832, saving model...
07-13 16:24:52: New best reward 26.9 (+20.1%) at episode 210103, saving model...
07-13 16:25:09: New best reward 27.0 (+0.4%) at episode 214550, saving model...
07-13 16:25:12: New best reward 31.9 (+18.1%) at episode 215315, saving model...
07-13 16:26:13: New best reward 32.6 (+2.2%) at episode 229733, saving model...
07-13 16:26:19: New best reward 36.4 (+11.7%) at episode 231038, saving model...
07-13 16:27:14: New best reward 37.3 (+2.5%) at episode 243352, saving model...
07-13 16:27:19: New best reward 43.5 (+16.6%) at episode 244359, saving model...
07-13 16:27:36: New best reward 45.9 (+5.5%) at episode 247980, saving model...
07-13 16:28:15: New best reward 50.4 (+9.8%) at episode 256160, saving model...
07-13 16:29:45: New best reward 52.8 (+4.8%) at episode 274499, saving model...
07-13 16:29:57: New best reward 57.6 (+9.1%) at episode 276938, saving model...
07-13 16:30:19: New best reward 68.9 (+19.6%) at episode 281444, saving model...
07-13 16:48:54: New best reward 71.8 (+4.2%) at episode 499606, saving model...
07-13 17:01:36: New best reward 75.1 (+4.6%) at episode 644239, saving model...
07-13 17:03:25: New best reward 76.1 (+1.3%) at episode 663830, saving model...
07-13 17:04:48: New best reward 79.3 (+4.2%) at episode 678351, saving model...
07-13 17:12:54: New best reward 92.4 (+16.5%) at episode 763599, saving model...
07-13 17:40:49: New best reward 106.4 (+15.2%) at episode 1063663, saving model...
07-13 18:09:28: New best reward 106.6 (+0.2%) at episode 1349268, saving model...
07-13 18:26:01: New best reward 113.7 (+6.7%) at episode 1507691, saving model...
07-13 19:06:40: New best reward 118.5 (+4.2%) at episode 1891616, saving model...
